sample_group	mapping_barcode	sgrna_all_read_identifiability	n_total	n_callable	callable_fraction	n_terminal_junction_nonA_like	n_A_junction_like	nonA_like_fraction_callable	wilson95_low_descriptive	wilson95_high_descriptive	all_read_lower_bound	median_abs_difference_pa_callable
MHV-mut	bc07	nested_RNA_unidentifiable	13997	11617	0.8299635636207758	2045	9572	0.17603512094344495	0.16921696613258003	0.18306745951142533	0.14610273630063586	2.6140975952148438
MHV-mut	bc11	nested_RNA_unidentifiable	39982	33540	0.8388774948726927	5302	28238	0.1580799045915325	0.15421481427635186	0.16202330865429587	0.13260967435345905	2.6303939819335938
MHV-wt	bc05	nested_RNA_unidentifiable	9628	8027	0.8337141670128791	1061	6966	0.13217889622523982	0.1249453851726837	0.13976429309966862	0.1101994183631076	2.39715576171875
MHV-wt	bc06	nested_RNA_unidentifiable	8782	7272	0.8280573901161467	1078	6194	0.14823982398239824	0.14025859413042974	0.15659249464669878	0.12275108175814166	2.310375213623047
mock	bc04	nested_RNA_unidentifiable	1348	1143	0.8479228486646885	164	979	0.14348206474190725	0.12435201225856259	0.16500050135036218	0.12166172106824925	2.456817626953125
