cutoff_pa	sample_group	mapping_barcode	n_total	n_callable	callable_fraction	n_terminal_junction_nonA_like	n_A_junction_like	terminal_junction_nonA_like_fraction_callable	wilson95_low_descriptive	wilson95_high_descriptive	all_read_lower_bound	median_abs_difference_pa_callable
3.0	MHV-mut	bc07	17284	14061	0.813526961351539	6111	7950	0.43460635801152125	0.42643193085217573	0.44281650643847853	0.35356398981717196	2.6141357421875
3.0	MHV-mut	bc11	44029	36569	0.8305662177201389	15850	20719	0.43342721977631327	0.4283554826556426	0.43851294195166435	0.35999000658656793	2.6249771118164062
3.0	MHV-wt	bc05	11405	9370	0.8215694870670759	3644	5726	0.38890074706510136	0.37907736651956353	0.3988151859471885	0.31950898728627797	2.3809280395507812
3.0	MHV-wt	bc06	12182	9799	0.8043835166639304	3713	6086	0.3789162159404021	0.3693602857296866	0.38856704483376425	0.30479395829912986	2.277862548828125
3.0	mock	bc04	1506	1270	0.8432934926958832	514	756	0.4047244094488189	0.3780558288992611	0.4319676254919624	0.34130146082337315	2.4568099975585938
5.0	MHV-mut	bc07	17284	14061	0.813526961351539	2441	11620	0.17360073963444989	0.16742958296199428	0.17995019185633915	0.1412288822031937	2.6141357421875
5.0	MHV-mut	bc11	44029	36569	0.8305662177201389	5722	30847	0.15647132817413656	0.15278386741966135	0.160230954568136	0.12995979922323922	2.6249771118164062
5.0	MHV-wt	bc05	11405	9370	0.8215694870670759	1201	8169	0.12817502668089648	0.12155853995294827	0.13509626580513504	0.10530469092503288	2.3809280395507812
5.0	MHV-wt	bc06	12182	9799	0.8043835166639304	1415	8384	0.1444024900500051	0.13758228694349922	0.15150139055194523	0.11615498276145132	2.277862548828125
5.0	mock	bc04	1506	1270	0.8432934926958832	183	1087	0.14409448818897638	0.12585260505336657	0.16448294358161705	0.12151394422310757	2.4568099975585938
7.0	MHV-mut	bc07	17284	14061	0.813526961351539	578	13483	0.041106606926961095	0.037948432703337705	0.04451545160111745	0.033441333024762786	2.6141357421875
7.0	MHV-mut	bc11	44029	36569	0.8305662177201389	1238	35331	0.033853810604610464	0.03204862031234687	0.035756925002279005	0.028117831429285242	2.6249771118164062
7.0	MHV-wt	bc05	11405	9370	0.8215694870670759	270	9100	0.0288153681963714	0.025616452743739544	0.03240047246347576	0.02367382726874178	2.3809280395507812
7.0	MHV-wt	bc06	12182	9799	0.8043835166639304	386	9413	0.03939177467088478	0.03571727216707625	0.04342727608251154	0.03168609423739944	2.277862548828125
7.0	mock	bc04	1506	1270	0.8432934926958832	44	1226	0.03464566929133858	0.025908560630913874	0.04618946866836782	0.029216467463479414	2.4568099975585938
