sample_group	n_total	n_callable	callable_fraction	n_terminal_junction_nonA_like	n_A_junction_like	terminal_junction_nonA_like_fraction_callable	wilson95_low_descriptive	wilson95_high_descriptive	all_read_lower_bound	median_abs_difference_pa_callable	n_long_host_reference	n_long_host_reference_exceeding_cutoff	long_host_reference_fraction_exceeding_cutoff	virus_minus_long_host_reference_fraction
MHV-mut	61313	50630	0.8257628887837816	8163	42467	0.16122852063993678	0.15805101985716938	0.16445742485764395	0.13313652895796976	2.62493896484375	13488	2692	0.19958481613285883	-0.03835629549292205
MHV-wt	23587	19169	0.8126934328231653	2616	16553	0.1364703427408837	0.1316834575621206	0.14140290108045203	0.11090855132064273	2.33209228515625	7459	1101	0.1476069178174018	-0.01113657507651808
mock	1506	1270	0.8432934926958832	183	1087	0.14409448818897638	0.12585260505336657	0.16448294358161705	0.12151394422310757	2.4568099975585938	6050	1330	0.21983471074380165	-0.07574022255482527
