sample_group	mapping_barcode	n_total	n_callable	callable_fraction	n_terminal_junction_nonA_like	n_A_junction_like	terminal_junction_nonA_like_fraction_callable	wilson95_low_descriptive	wilson95_high_descriptive	all_read_lower_bound	median_abs_difference_pa_callable
MHV-mut	bc07	3704	3704	1.0	880	2824	0.23758099352051837	0.22415112893861192	0.25155460940266466	0.23758099352051837	3.0018768310546875
MHV-mut	bc11	9784	9784	1.0	1812	7972	0.18520032706459524	0.17762713604100347	0.19302061853120853	0.18520032706459524	2.7551002502441406
MHV-wt	bc05	3436	3436	1.0	514	2922	0.14959254947613504	0.13805823894518557	0.16190949828141557	0.14959254947613504	2.4161529541015625
MHV-wt	bc06	4023	4023	1.0	587	3436	0.14591101168282378	0.13534018162623906	0.1571574175133204	0.14591101168282378	2.3538055419921875
mock	bc04	6050	6050	1.0	1330	4720	0.21983471074380165	0.2095788200474682	0.23044615862774448	0.21983471074380165	2.831073760986328
