sample_group	mapping_barcode	n_total	n_callable	callable_fraction	n_terminal_junction_nonA_like	n_A_junction_like	terminal_junction_nonA_like_fraction_callable	wilson95_low_descriptive	wilson95_high_descriptive	all_read_lower_bound	median_abs_difference_pa_callable
MHV-mut	bc07	17284	14061	0.813526961351539	2441	11620	0.17360073963444989	0.16742958296199428	0.17995019185633915	0.1412288822031937	2.6141357421875
MHV-mut	bc11	44029	36569	0.8305662177201389	5722	30847	0.15647132817413656	0.15278386741966135	0.160230954568136	0.12995979922323922	2.6249771118164062
MHV-wt	bc05	11405	9370	0.8215694870670759	1201	8169	0.12817502668089648	0.12155853995294827	0.13509626580513504	0.10530469092503288	2.3809280395507812
MHV-wt	bc06	12182	9799	0.8043835166639304	1415	8384	0.1444024900500051	0.13758228694349922	0.15150139055194523	0.11615498276145132	2.277862548828125
mock	bc04	1506	1270	0.8432934926958832	183	1087	0.14409448818897638	0.12585260505336657	0.16448294358161705	0.12151394422310757	2.4568099975585938
