sample_group	n_total	n_callable	callable_fraction	n_terminal_junction_nonA_like	n_A_junction_like	terminal_junction_nonA_like_fraction_callable	wilson95_low_descriptive	wilson95_high_descriptive	all_read_lower_bound	median_abs_difference_pa_callable
MHV-mut	13488	13488	1.0	2692	10796	0.19958481613285883	0.1929255558450963	0.20641514759151514	0.19958481613285883	2.814807891845703
MHV-wt	7459	7459	1.0	1101	6358	0.1476069178174018	0.1397386122839839	0.1558380083627676	0.1476069178174018	2.3754653930664062
mock	6050	6050	1.0	1330	4720	0.21983471074380165	0.2095788200474682	0.23044615862774448	0.21983471074380165	2.831073760986328
