mapping_barcode	n_long_host_reference	median_terminal_minus_stableA_pa	mad_terminal_minus_stableA_pa	fraction_exceeding_pooled_5pA_cutoff
bc04	6050	-11.416389465332031	2.714447021484375	0.21983471074380165
bc05	3436	-10.29372787475586	2.418865203857422	0.14959254947613504
bc06	4023	-10.624565124511719	2.4134368896484375	0.14591101168282378
bc07	3704	-7.7989501953125	2.4053192138671875	0.23758099352051837
bc11	9784	-10.120189666748047	2.7496910095214844	0.18520032706459524
ALL	26997	-10.190704345703125	2.6954345703125	0.18976182538800607
