sample_group	mapping_barcode	n_total	n_callable	callable_fraction	n_terminal_junction_nonA_like	n_A_junction_like	terminal_junction_nonA_like_fraction_callable	wilson95_low_descriptive	wilson95_high_descriptive	all_read_lower_bound	median_abs_difference_pa_callable	n_long_host_reference	n_long_host_reference_exceeding_cutoff	long_host_reference_fraction_exceeding_cutoff	virus_minus_long_host_reference_fraction
MHV-mut	bc07	17284	14061	0.813526961351539	2441	11620	0.17360073963444989	0.16742958296199428	0.17995019185633915	0.1412288822031937	2.6141357421875	3704	880	0.23758099352051837	-0.06398025388606848
MHV-mut	bc11	44029	36569	0.8305662177201389	5722	30847	0.15647132817413656	0.15278386741966135	0.160230954568136	0.12995979922323922	2.6249771118164062	9784	1812	0.18520032706459524	-0.028728998890458685
MHV-wt	bc05	11405	9370	0.8215694870670759	1201	8169	0.12817502668089648	0.12155853995294827	0.13509626580513504	0.10530469092503288	2.3809280395507812	3436	514	0.14959254947613504	-0.021417522795238564
MHV-wt	bc06	12182	9799	0.8043835166639304	1415	8384	0.1444024900500051	0.13758228694349922	0.15150139055194523	0.11615498276145132	2.277862548828125	4023	587	0.14591101168282378	-0.0015085216328186712
mock	bc04	1506	1270	0.8432934926958832	183	1087	0.14409448818897638	0.12585260505336657	0.16448294358161705	0.12151394422310757	2.4568099975585938	6050	1330	0.21983471074380165	-0.07574022255482527
