sample_group	sgrna_primary_assignment	n_total	n_callable	callable_fraction	n_terminal_junction_nonA_like	n_A_junction_like	nonA_like_fraction_callable	wilson95_low_descriptive	wilson95_high_descriptive	all_read_lower_bound	median_abs_difference_pa_callable	gene_label	mut_minus_wt_pp
MHV-mut	sgRNA4_ORF4	553	428	0.7739602169981917	73	355	0.1705607476635514	0.1378958246516441	0.2090867444372355	0.132007233273056	2.6195106506347656	ORF4	5.23789294817333
MHV-mut	sgRNA5_ORF5_E	290	214	0.7379310344827587	29	185	0.1355140186915887	0.0960376544985662	0.187845216812886	0.1	2.48123550415039	ORF5/E	4.884735202492209
MHV-mut	sgRNA6_M	1085	813	0.7493087557603687	114	699	0.1402214022140221	0.1180422260715076	0.1657845267422055	0.1050691244239631	2.5653152465820312	M	0.9786619605326508
MHV-mut	sgRNA7_N	5356	3987	0.7443988050784167	599	3388	0.1502382743917732	0.139484347061446	0.1616655410565955	0.1118371919342793	2.5870132446289062	N	2.68523346500229
MHV-wt	sgRNA4_ORF4	439	330	0.7517084282460137	39	291	0.1181818181818181	0.0876685117602242	0.1574821627839194	0.0888382687927107	2.3998794555664062	ORF4	5.23789294817333
MHV-wt	sgRNA5_ORF5_E	205	150	0.7317073170731707	13	137	0.0866666666666666	0.0513471782747241	0.1426282237362191	0.0634146341463414	2.009384155273437	ORF5/E	4.884735202492209
MHV-wt	sgRNA6_M	757	575	0.7595772787318362	75	500	0.1304347826086956	0.1053422797622987	0.1604324958284543	0.0990752972258916	2.288681030273437	M	0.9786619605326508
MHV-wt	sgRNA7_N	3741	2788	0.7452552793370757	344	2444	0.1233859397417503	0.111693707605376	0.1361145827382081	0.0919540229885057	2.20733642578125	N	2.68523346500229
