mapping_barcode	sample_group	read_origin	n_callable	q25_signed_deviation_pa	median_signed_deviation_pa	q75_signed_deviation_pa	iqr_signed_deviation_pa	n_negative_tail	negative_tail_fraction	n_positive_tail	positive_tail_fraction	n_total_beyond_5pa	total_beyond_5pa_fraction	n_below_plot_range	n_above_plot_range
bc05	MHV-wt	MHV-mapped	9370	-2.727985382080078	-0.3687858581542969	2.012113571166992	4.74009895324707	716	0.07641408751334045	485	0.05176093916755603	1201	0.12817502668089648	2	1
bc06	MHV-wt	MHV-mapped	9799	-3.229656219482422	-0.661651611328125	1.4860458374023438	4.715702056884766	1208	0.12327788549852026	207	0.021124604551484846	1415	0.1444024900500051	4	0
bc07	MHV-mut	MHV-mapped	14061	-0.6616363525390625	1.7355117797851562	3.9808349609375	4.6424713134765625	283	0.020126591280847733	2158	0.15347414835360215	2441	0.17360073963444989	0	5
bc11	MHV-mut	MHV-mapped	36569	-3.1239089965820312	-0.49895477294921875	2.0934524536132812	5.2173614501953125	3897	0.10656567037654845	1825	0.04990565779758812	5722	0.15647132817413656	2	5
bc04	mock	Host-mapped	15272	-4.1218109130859375	-1.44805908203125	1.2582626342773438	5.380073547363281	2819	0.18458617077003667	689	0.045115243583027764	3508	0.22970141435306443	7	5
bc05	MHV-wt	Host-mapped	8281	-2.9557723999023438	-0.52606201171875	1.8819656372070312	4.837738037109375	867	0.10469750030189591	461	0.05566960512015457	1328	0.1603671054220505	2	2
bc06	MHV-wt	Host-mapped	9700	-3.5577850341796875	-0.813507080078125	1.509103775024414	5.066888809204102	1402	0.1445360824742268	230	0.023711340206185566	1632	0.16824742268041237	4	0
bc07	MHV-mut	Host-mapped	8520	-0.5260543823242188	2.0446624755859375	4.360475540161133	4.886529922485352	201	0.023591549295774648	1620	0.19014084507042253	1821	0.21373239436619718	2	4
bc11	MHV-mut	Host-mapped	22083	-3.1455841064453125	-0.35250091552734375	2.3266677856445312	5.472251892089844	2570	0.11637911515645519	1583	0.07168410089208893	4153	0.18806321604854412	12	6
